1p.prs	1p.pst	3p.prs	3p.pst
disavow	disavowed	disavows	disavowed
suck	sucked	sucks	sucked
disband	disbanded	disbands	disbanded
suckle	suckled	suckles	suckled
disbar	disbarred	disbars	disbarred
disbelieve	disbelieved	disbelieves	disbelieved
disbud	disbudded	disbuds	disbudded
disburden	disburdened	disburdens	disburdened
disburse	disbursed	disburses	disbursed
discard	discarded	discards	discarded
discern	discerned	discerns	discerned
sue	sued	sues	sued
suffer	suffered	suffers	suffered
discharge	discharged	discharges	discharged
suffice	sufficed	suffices	sufficed
discipline	disciplined	disciplines	disciplined
suffocate	suffocated	suffocates	suffocated
disclaim	disclaimed	disclaims	disclaimed
disclose	disclosed	discloses	disclosed
suffuse	suffused	suffuses	suffused
discolour	discoloured	discolours	discoloured
discomfit	discomfited	discomfits	discomfited
sugar	sugared	sugars	sugared
discommode	discommoded	discommodes	discommoded
discompose	discomposed	discomposes	discomposed
disconcert	disconcerted	disconcerts	disconcerted
disconnect	disconnected	disconnects	disconnected
suggest	suggested	suggests	suggested
discontent	discontented	discontents	discontented
discontinue	discontinued	discontinues	discontinued
suit	suited	suits	suited
sulk	sulked	sulks	sulked
discount	discounted	discounts	discounted
discountenance	discountenanced	discountenances	discountenanced
discourage	discouraged	discourages	discouraged
sully	sullied	sullies	sullied
discover	discovered	discovers	discovered
sulphuret	sulphuretted	sulphurets	sulphuretted
discredit	discredited	discredits	discredited
discriminate	discriminated	discriminates	discriminated
summarize	summarized	summarizes	summarized
summer	summered	summers	summered
discuss	discussed	discusses	discussed
disdain	disdained	disdains	disdained
summon	summoned	summons	summoned
summons	summonsed	summonses	summonsed
disembark	disembarked	disembarks	disembarked
disembody	disembodied	disembodies	disembodied
disembowel	disembowelled	disembowels	disembowelled
disembroil	disembroiled	disembroils	disembroiled
disenchant	disenchanted	disenchants	disenchanted
sun	sunned	suns	sunned
disencumber	disencumbered	disencumbers	disencumbered
disendow	disendowed	disendows	disendowed
sunbathe	sunbathed	sunbathes	sunbathed
disenfranchise	disenfranchised	disenfranchises	disenfranchised
disengage	disengaged	disengages	disengaged
disentangle	disentangled	disentangles	disentangled
disestablish	disestablished	disestablishes	disestablished
disfavour	disfavoured	disfavours	disfavoured
disfigure	disfigured	disfigures	disfigured
sunder	sundered	sunders	sundered
disforest	disforested	disforests	disforested
disfranchise	disfranchised	disfranchises	disfranchised
disfrock	disfrocked	disfrocks	disfrocked
disgorge	disgorged	disgorges	disgorged
disgrace	disgraced	disgraces	disgraced
disgruntle	disgruntled	disgruntles	disgruntled
disguise	disguised	disguises	disguised
disgust	disgusted	disgusts	disgusted
dish	dished	dishes	dished
dishearten	disheartened	disheartens	disheartened
dishonour	dishonoured	dishonours	dishonoured
dishorn	dishorned	dishorns	dishorned
sup	supped	sups	supped
disillusion	disillusioned	disillusions	disillusioned
superabound	superabounded	superabounds	superabounded
disincline	disinclined	disinclines	disinclined
superannuate	superannuated	superannuates	superannuated
disinfect	disinfected	disinfects	disinfected
disinfest	disinfested	disinfests	disinfested
disinherit	disinherited	disinherits	disinherited
disintegrate	disintegrated	disintegrates	disintegrated
disinter	disinterred	disinters	disinterred
disjoint	disjointed	disjoints	disjointed
superimpose	superimposed	superimposes	superimposed
superintend	superintended	superintends	superintended
dislike	disliked	dislikes	disliked
dislocate	dislocated	dislocates	dislocated
dislodge	dislodged	dislodges	dislodged
dismantle	dismantled	dismantles	dismantled
dismast	dismasted	dismasts	dismasted
dismay	dismayed	dismays	dismayed
dismember	dismembered	dismembers	dismembered
dismiss	dismissed	dismisses	dismissed
superscribe	superscribed	superscribes	superscribed
dismount	dismounted	dismounts	dismounted
supersede	superseded	supersedes	superseded
disobey	disobeyed	disobeys	disobeyed
disoblige	disobliged	disobliges	disobliged
disorder	disordered	disorders	disordered
supervene	supervened	supervenes	supervened
supervise	supervised	supervises	supervised
disorganize	disorganized	disorganizes	disorganized
disorient	disoriented	disorients	disoriented
disorientate	disorientated	disorientates	disorientated
disown	disowned	disowns	disowned
disparage	disparaged	disparages	disparaged
supplant	supplanted	supplants	supplanted
supplement	supplemented	supplements	supplemented
dispatch	dispatched	dispatches	dispatched
supplicate	supplicated	supplicates	supplicated
dispel	dispelled	dispels	dispelled
supply	supplied	supplies	supplied
dispense	dispensed	dispenses	dispensed
support	supported	supports	supported
disperse	dispersed	disperses	dispersed
suppose	supposed	supposes	supposed
dispirit	dispirited	dispirits	dispirited
displace	displaced	displaces	displaced
suppress	suppressed	suppresses	suppressed
display	displayed	displays	displayed
displease	displeased	displeases	displeased
suppurate	suppurated	suppurates	suppurated
disport	disported	disports	disported
dispose	disposed	disposes	disposed
dispossess	dispossessed	dispossesses	dispossessed
surcharge	surcharged	surcharges	surcharged
disprove	disproved	disproves	disproved
dispute	disputed	disputes	disputed
surf	surfed	surfs	surfed
disqualify	disqualified	disqualifies	disqualified
surface	surfaced	surfaces	surfaced
disquiet	disquieted	disquiets	disquieted
surfeit	surfeited	surfeits	surfeited
disregard	disregarded	disregards	disregarded
disrelish	disrelished	disrelishes	disrelished
disremember	disremembered	disremembers	disremembered
surge	surged	surges	surged
disrobe	disrobed	disrobes	disrobed
disrupt	disrupted	disrupts	disrupted
surmise	surmised	surmises	surmised
surmount	surmounted	surmounts	surmounted
dissatisfy	dissatisfied	dissatisfies	dissatisfied
dissect	dissected	dissects	dissected
surpass	surpassed	surpasses	surpassed
dissemble	dissembled	dissembles	dissembled
disseminate	disseminated	disseminates	disseminated
dissent	dissented	dissents	dissented
surprise	surprised	surprises	surprised
dissever	dissevered	dissevers	dissevered
surrender	surrendered	surrenders	surrendered
dissimulate	dissimulated	dissimulates	dissimulated
dissipate	dissipated	dissipates	dissipated
dissociate	dissociated	dissociates	dissociated
surround	surrounded	surrounds	surrounded
surtax	surtaxed	surtaxes	surtaxed
dissolve	dissolved	dissolves	dissolved
survey	surveyed	surveys	surveyed
dissuade	dissuaded	dissuades	dissuaded
survive	survived	survives	survived
distance	distanced	distances	distanced
suspect	suspected	suspects	suspected
suspend	suspended	suspends	suspended
distemper	distempered	distempers	distempered
distend	distended	distends	distended
distil	distilled	distils	distilled
sustain	sustained	sustains	sustained
distinguish	distinguished	distinguishes	distinguished
swab	swabbed	swabs	swabbed
swaddle	swaddled	swaddles	swaddled
distort	distorted	distorts	distorted
distract	distracted	distracts	distracted
swag	swagged	swags	swagged
swagger	swaggered	swaggers	swaggered
distrain	distrained	distrains	distrained
distress	distressed	distresses	distressed
swallow	swallowed	swallows	swallowed
distribute	distributed	distributes	distributed
swamp	swamped	swamps	swamped
swan	swanned	swans	swanned
swank	swanked	swanks	swanked
distrust	distrusted	distrusts	distrusted
disturb	disturbed	disturbs	disturbed
swap	swapped	swaps	swapped
disunite	disunited	disunites	disunited
swarm	swarmed	swarms	swarmed
swash	swashed	swashes	swashed
ditch	ditched	ditches	ditched
dither	dithered	dithers	dithered
swat	swatted	swats	swatted
swathe	swathed	swathes	swathed
sway	swayed	sways	swayed
divagate	divagated	divagates	divagated
swear	swore	swears	swore
dive	dived	dives	dived
dive-bomb	dive-bombed	dive-bombs	dive-bombed
diverge	diverged	diverges	diverged
sweat	sweated	sweats	sweated
diversify	diversified	diversifies	diversified
divert	diverted	diverts	diverted
sweep	swept	sweeps	swept
divide	divided	divides	divided
divine	divined	divines	divined
sweeten	sweetened	sweetens	sweetened
swell	swelled	swells	swelled
divorce	divorced	divorces	divorced
divulge	divulged	divulges	divulged
swelter	sweltered	swelters	sweltered
divvy	divvied	divvies	divvied
swerve	swerved	swerves	swerved
swig	swigged	swigs	swigged
dizzy	dizzied	dizzies	dizzied
swill	swilled	swills	swilled
swim	swam	swims	swam
do	did	does	did
swindle	swindled	swindles	swindled
dock	docked	docks	docked
dock	docked	docks	docked
swinge	swinged	swinges	swinged
swing	swung	swings	swung
docket	docketed	dockets	docketed
doctor	doctored	doctors	doctored
swipe	swiped	swipes	swiped
swirl	swirled	swirls	swirled
swish	swished	swishes	swished
document	documented	documents	documented
dodder	doddered	dodders	doddered
switch	switched	switches	switched
dodge	dodged	dodges	dodged
swivel	swivelled	swivels	swivelled
doff	doffed	doffs	doffed
dog	dogged	dogs	dogged
swoon	swooned	swoons	swooned
swoop	swooped	swoops	swooped
swot	swotted	swots	swotted
syllabicate	syllabicated	syllabicates	syllabicated
dogmatize	dogmatized	dogmatizes	dogmatized
syllabify	syllabified	syllabifies	syllabified
syllabize	syllabized	syllabizes	syllabized
symbolize	symbolized	symbolizes	symbolized
sympathize	sympathized	sympathizes	sympathized
synchronize	synchronized	synchronizes	synchronized
domesticate	domesticated	domesticates	domesticated
syncopate	syncopated	syncopates	syncopated
domicile	domiciled	domiciles	domiciled
syndicate	syndicated	syndicates	syndicated
dominate	dominated	dominates	dominated
domineer	domineered	domineers	domineered
don	donned	dons	donned
synthesize	synthesized	synthesizes	synthesized
donate	donated	donates	donated
syringe	syringed	syringes	syringed
doodle	doodled	doodles	doodled
doom	doomed	dooms	doomed
systematize	systematized	systematizes	systematized
table	tabled	tables	tabled
dope	doped	dopes	doped
taboo	tabooed	taboos	tabooed
dose	dosed	doses	dosed
tabulate	tabulated	tabulates	tabulated
dot	dotted	dots	dotted
tack	tacked	tacks	tacked
tackle	tackled	tackles	tackled
double	doubled	doubles	doubled
double-check	double-checked	double-checks	double-checked
double-clutch	double-clutched	double-clutches	double-clutched
double-cross	double-crossed	double-crosses	double-crossed
tag	tagged	tags	tagged
double-declutch	double-declutched	double-declutches	double-declutched
tail	tailed	tails	tailed
double-glaze	double-glazed	double-glazes	double-glazed
tailor	tailored	tailors	tailored
double-stop	double-stopped	double-stops	double-stopped
taint	tainted	taints	tainted
double-talk	double-talked	double-talks	double-talked
take	took	takes	took
doubt	doubted	doubts	doubted
douse	doused	douses	doused
dovetail	dovetailed	dovetails	dovetailed
dower	dowered	dowers	dowered
down	downed	downs	downed
talk	talked	talks	talked
downgrade	downgraded	downgrades	downgraded
tally	tallied	tallies	tallied
tame	tamed	tames	tamed
dowse	dowsed	dowses	dowsed
tamp	tamped	tamps	tamped
doze	dozed	dozes	dozed
tan	tanned	tans	tanned
draft	drafted	drafts	drafted
tangle	tangled	tangles	tangled
tango	tangoed	tangos	tangoed
drag	dragged	drags	dragged
draggle	draggled	draggles	draggled
drain	drained	drains	drained
tantalize	tantalized	tantalizes	tantalized
tap	tapped	taps	tapped
tap	tapped	taps	tapped
dramatize	dramatized	dramatizes	dramatized
tap-dance	tap-danced	tap-dances	tap-danced
drape	draped	drapes	draped
tape	taped	tapes	taped
drat	dratted	drats	dratted
taper	tapered	tapers	tapered
draw	drew	draws	drew
tar	tarred	tars	tarred
drawl	drawled	drawls	drawled
tarmac	tarmacked	tarmacs	tarmacked
tarmacadam	tarmacadamed	tarmacadams	tarmacadamed
tarnish	tarnished	tarnishes	tarnished
dread	dreaded	dreads	dreaded
tarry	tarried	tarries	tarried
dream	dreamed	dreams	dreamed
task	tasked	tasks	tasked
dredge	dredged	dredges	dredged
dredge	dredged	dredges	dredged
taste	tasted	tastes	tasted
drench	drenched	drenches	drenched
dress	dressed	dresses	dressed
tat	tatted	tats	tatted
dribble	dribbled	dribbles	dribbled
tattle	tattled	tattles	tattled
tattoo	tattooed	tattoos	tattooed
drift	drifted	drifts	drifted
taunt	taunted	taunts	taunted
drill	drilled	drills	drilled
drink	drank	drinks	drank
tax	taxed	taxes	taxed
drip	dripped	drips	dripped
drip-dry	drip-dried	drip-dries	drip-dried
taxi	taxied	taxis	taxied
drive	drove	drives	drove
drivel	drivelled	drivels	drivelled
teach	taught	teaches	taught
drizzle	drizzled	drizzles	drizzled
drone	droned	drones	droned
drool	drooled	drools	drooled
droop	drooped	droops	drooped
drop	dropped	drops	dropped
dropkick	dropkicked	dropkicks	dropkicked
tear	tore	tears	tore
drown	drowned	drowns	drowned
drowse	drowsed	drowses	drowsed
tease	teased	teases	teased
drub	drubbed	drubs	drubbed
drudge	drudged	drudges	drudged
drug	drugged	drugs	drugged
drum	drummed	drums	drummed
dry	dried	dries	dried
dry-clean	dry-cleaned	dry-cleans	dry-cleaned
tee	teed	tees	teed
teem	teemed	teems	teemed
dub	dubbed	dubs	dubbed
teeter	teetered	teeters	teetered
dubbin	dubbined	dubbins	dubbined
teethe	teethed	teethes	teethed
telecast	telecast	telecasts	telecast
duck	ducked	ducks	ducked
telegraph	telegraphed	telegraphs	telegraphed
telephone	telephoned	telephones	telephoned
duel	duelled	duels	duelled
telescope	telescoped	telescopes	telescoped
televise	televised	televises	televised
telex	telexed	telexes	telexed
tell	told	tells	told
dull	dulled	dulls	dulled
dumbfound	dumbfounded	dumbfounds	dumbfounded
temper	tempered	tempers	tempered
dump	dumped	dumps	dumped
dun	dunned	duns	dunned
temporize	temporized	temporizes	temporized
tempt	tempted	tempts	tempted
dunk	dunked	dunks	dunked
dupe	duped	dupes	duped
duplicate	duplicated	duplicates	duplicated
tenant	tenanted	tenants	tenanted
tend	tended	tends	tended
tender	tendered	tenders	tendered
tender	tendered	tenders	tendered
dust	dusted	dusts	dusted
tenderize	tenderized	tenderizes	tenderized
tense	tensed	tenses	tensed
dwarf	dwarfed	dwarfs	dwarfed
dwell	dwelt	dwells	dwelt
dwindle	dwindled	dwindles	dwindled
dye	dyed	dyes	dyed
dynamite	dynamited	dynamites	dynamited
tergiversate	tergiversated	tergiversates	tergiversated
term	termed	terms	termed
terminate	terminated	terminates	terminated
terrace	terraced	terraces	terraced
terrify	terrified	terrifies	terrified
earmark	earmarked	earmarks	earmarked
terrorize	terrorized	terrorizes	terrorized
earn	earned	earns	earned
tessellate	tessellated	tessellates	tessellated
test	tested	tests	tested
earth	earthed	earths	earthed
test-drive	test-drove	test-drives	test-drove
testify	testified	testifies	testified
ease	eased	eases	eased
tether	tethered	tethers	tethered
thank	thanked	thanks	thanked
eat	ate	eats	ate
eavesdrop	eavesdropped	eavesdrops	eavesdropped
ebb	ebbed	ebbs	ebbed
thatch	thatched	thatches	thatched
thaw	thawed	thaws	thawed
echo	echoed	echoes	echoed
eclipse	eclipsed	eclipses	eclipsed
economize	economized	economizes	economized
theorize	theorized	theorizes	theorized
eddy	eddied	eddies	eddied
edge	edged	edges	edged
edify	edified	edifies	edified
edit	edited	edits	edited
editorialize	editorialized	editorializes	editorialized
educate	educated	educates	educated
educe	educed	educes	educed
eff	effed	effs	effed
efface	effaced	effaces	effaced
effect	effected	effects	effected
effectuate	effectuated	effectuates	effectuated
thicken	thickened	thickens	thickened
effervesce	effervesced	effervesces	effervesced
thieve	thieved	thieves	thieved
effloresce	effloresced	effloresces	effloresced
thin	thinned	thins	thinned
effuse	effused	effuses	effused
think	thought	thinks	thought
thirst	thirsted	thirsts	thirsted
egotrip	egotripped	egotrips	egotripped
ejaculate	ejaculated	ejaculates	ejaculated
eject	ejected	ejects	ejected
elaborate	elaborated	elaborates	elaborated
thrash	thrashed	thrashes	thrashed
elapse	elapsed	elapses	elapsed
thread	threaded	threads	threaded
threaten	threatened	threatens	threatened
elate	elated	elates	elated
elbow	elbowed	elbows	elbowed
elect	elected	elects	elected
electioneer	electioneered	electioneers	electioneered
thresh	threshed	threshes	threshed
electrify	electrified	electrifies	electrified
thrill	thrilled	thrills	thrilled
thrive	thrived	thrives	thrived
electrocute	electrocuted	electrocutes	electrocuted
throb	throbbed	throbs	throbbed
throng	thronged	throngs	thronged
electroplate	electroplated	electroplates	electroplated
throttle	throttled	throttles	throttled
throw	threw	throws	threw
elevate	elevated	elevates	elevated
thrum	thrummed	thrums	thrummed
thrust	thrust	thrusts	thrust
thud	thudded	thuds	thudded
thumb	thumbed	thumbs	thumbed
elicit	elicited	elicits	elicited
elide	elided	elides	elided
eliminate	eliminated	eliminates	eliminated
thump	thumped	thumps	thumped
thunder	thundered	thunders	thundered
thwack	thwacked	thwacks	thwacked
thwart	thwarted	thwarts	thwarted
elongate	elongated	elongates	elongated
elope	eloped	elopes	eloped
elucidate	elucidated	elucidates	elucidated
elude	eluded	eludes	eluded
tick	ticked	ticks	ticked
ticket	ticketed	tickets	ticketed
tickle	tickled	tickles	tickled
emaciate	emaciated	emaciates	emaciated
emancipate	emancipated	emancipates	emancipated
emasculate	emasculated	emasculates	emasculated
embalm	embalmed	embalms	embalmed
embank	embanked	embanks	embanked
embargo	embargoed	embargos	embargoed
embark	embarked	embarks	embarked
embarrass	embarrassed	embarrasses	embarrassed
embed	embedded	embeds	embedded
embellish	embellished	embellishes	embellished
tidy	tidied	tidies	tidied
tie	tied	ties	tied
embezzle	embezzled	embezzles	embezzled
embitter	embittered	embitters	embittered
emblazon	emblazoned	emblazons	emblazoned
tie-dye	tie-dyed	tie-dyes	tie-dyed
embody	embodied	embodies	embodied
embolden	emboldened	emboldens	emboldened
emboss	embossed	embosses	embossed
embrace	embraced	embraces	embraced
embrocate	embrocated	embrocates	embrocated
tighten	tightened	tightens	tightened
embroider	embroidered	embroiders	embroidered
embroil	embroiled	embroils	embroiled
emcee	emceed	emcees	emceed
emend	emended	emends	emended
emerge	emerged	emerges	emerged
tile	tiled	tiles	tiled
till	tilled	tills	tilled
emigrate	emigrated	emigrates	emigrated
tilt	tilted	tilts	tilted
emit	emitted	emits	emitted
time	timed	times	timed
emote	emoted	emotes	emoted
empanel	empanelled	empanels	empanelled
emphasize	emphasized	emphasizes	emphasized
emplane	emplaned	emplanes	emplaned
employ	employed	employs	employed
timetable	timetabled	timetables	timetabled
empower	empowered	empowers	empowered
empty	emptied	empties	emptied
tin	tinned	tins	tinned
tincture	tinctured	tinctures	tinctured
emulate	emulated	emulates	emulated
ting	tinged	tings	tinged
emulsify	emulsified	emulsifies	emulsified
tinge	tinged	tinges	tinged
emulsion	emulsioned	emulsions	emulsioned
tingle	tingled	tingles	tingled
enable	enabled	enables	enabled
enact	enacted	enacts	enacted
tinker	tinkered	tinkers	tinkered
tinkle	tinkled	tinkles	tinkled
enamel	enamelled	enamels	enamelled
enamour	enamoured	enamours	enamoured
encamp	encamped	encamps	encamped
encapsulate	encapsulated	encapsulates	encapsulated
encase	encased	encases	encased
tinsel	tinselled	tinsels	tinselled
tint	tinted	tints	tinted
enchain	enchained	enchains	enchained
enchant	enchanted	enchants	enchanted
tip	tipped	tips	tipped
encipher	enciphered	enciphers	enciphered
encircle	encircled	encircles	encircled
enclose	enclosed	encloses	enclosed
tipple	tippled	tipples	tippled
encode	encoded	encodes	encoded
encompass	encompassed	encompasses	encompassed
encore	encored	encores	encored
tiptoe	tiptoed	tiptoes	tiptoed
encounter	encountered	encounters	encountered
encourage	encouraged	encourages	encouraged
encroach	encroached	encroaches	encroached
tire	tired	tires	tired
encrust	encrusted	encrusts	encrusted
encumber	encumbered	encumbers	encumbered
end	ended	ends	ended
endanger	endangered	endangers	endangered
endeavour	endeavoured	endeavours	endeavoured
titillate	titillated	titillates	titillated
titivate	titivated	titivates	titivated
endorse	endorsed	endorses	endorsed
titter	tittered	titters	tittered
endow	endowed	endows	endowed
tittle-tattle	tittle-tattled	tittle-tattles	tittle-tattled
endue	endued	endues	endued
endure	endured	endures	endured
toady	toadied	toadies	toadied
energize	energized	energizes	energized
toast	toasted	toasts	toasted
enervate	enervated	enervates	enervated
enfeeble	enfeebled	enfeebles	enfeebled
enfilade	enfiladed	enfilades	enfiladed
enfold	enfolded	enfolds	enfolded
enforce	enforced	enforces	enforced
toboggan	tobogganed	toboggans	tobogganed
enfranchise	enfranchised	enfranchises	enfranchised
engage	engaged	engages	engaged
toddle	toddled	toddles	toddled
engender	engendered	engenders	engendered
engineer	engineered	engineers	engineered
engraft	engrafted	engrafts	engrafted
engrave	engraved	engraves	engraved
engross	engrossed	engrosses	engrossed
engulf	engulfed	engulfs	engulfed
enhance	enhanced	enhances	enhanced
toil	toiled	toils	toiled
enjoin	enjoined	enjoins	enjoined
enjoy	enjoyed	enjoys	enjoyed
enkindle	enkindled	enkindles	enkindled
enlarge	enlarged	enlarges	enlarged
enlighten	enlightened	enlightens	enlightened
token	tokened	tokens	tokened
enlist	enlisted	enlists	enlisted
enliven	enlivened	enlivens	enlivened
tolerate	tolerated	tolerates	tolerated
enmesh	enmeshed	enmeshes	enmeshed
toll	tolled	tolls	tolled
ennoble	ennobled	ennobles	ennobled
tomahawk	tomahawked	tomahawks	tomahawked
enounce	enounced	enounces	enounced
enplane	enplaned	enplanes	enplaned
enrage	enraged	enrages	enraged
enrapture	enraptured	enraptures	enraptured
enrich	enriched	enriches	enriched
enrol	enroled	enrols	enroled
ensanguine	ensanguined	ensanguines	ensanguined
ensconce	ensconced	ensconces	ensconced
enshrine	enshrined	enshrines	enshrined
enshroud	enshrouded	enshrouds	enshrouded
tone	toned	tones	toned
ensile	ensiled	ensiles	ensiled
enslave	enslaved	enslaves	enslaved
ensnare	ensnared	ensnares	ensnared
ensue	ensued	ensues	ensued
ensure	ensured	ensures	ensured
entail	entailed	entails	entailed
entangle	entangled	entangles	entangled
enter	entered	enters	entered
entertain	entertained	entertains	entertained
tonsure	tonsured	tonsures	tonsured
enthral	enthralled	enthrals	enthralled
enthrone	enthroned	enthrones	enthroned
tool	tooled	tools	tooled
enthuse	enthused	enthuses	enthused
toot	tooted	toots	tooted
entice	enticed	entices	enticed
entitle	entitled	entitles	entitled
tootle	tootled	tootles	tootled
entomb	entombed	entombs	entombed
top	topped	tops	topped
entrain	entrained	entrains	entrained
entrance	entranced	entrances	entranced
top-dress	top-dressed	top-dresses	top-dressed
tope	toped	topes	toped
entrap	entrapped	entraps	entrapped
entreat	entreated	entreats	entreated
entrench	entrenched	entrenches	entrenched
entrust	entrusted	entrusts	entrusted
entwine	entwined	entwines	entwined
enumerate	enumerated	enumerates	enumerated
enunciate	enunciated	enunciates	enunciated
envelop	enveloped	envelops	enveloped
envenom	envenomed	envenoms	envenomed
environ	environed	environs	environed
topple	toppled	topples	toppled
envisage	envisaged	envisages	envisaged
envision	envisioned	envisions	envisioned
envy	envied	envies	envied
enwrap	enwrapped	enwraps	enwrapped
torment	tormented	torments	tormented
torpedo	torpedoed	torpedos	torpedoed
torture	tortured	tortures	tortured
toss	tossed	tosses	tossed
epitomize	epitomized	epitomizes	epitomized
total	totalled	totals	totalled
totalize	totalized	totalizes	totalized
equal	equalled	equals	equalled
tote	toted	totes	toted
totter	tottered	totters	tottered
equalize	equalized	equalizes	equalized
equate	equated	equates	equated
touch	touched	touches	touched
equip	equipped	equips	equipped
touch-type	touch-typed	touch-types	touch-typed
toughen	toughened	toughens	toughened
equivocate	equivocated	equivocates	equivocated
tour	toured	tours	toured
eradicate	eradicated	eradicates	eradicated
erase	erased	erases	erased
erect	erected	erects	erected
tousle	tousled	tousles	tousled
tout	touted	touts	touted
tow	towed	tows	towed
towel	towelled	towels	towelled
erode	eroded	erodes	eroded
tower	towered	towers	towered
err	erred	errs	erred
eructate	eructated	eructates	eructated
erupt	erupted	erupts	erupted
escalate	escalated	escalates	escalated
escape	escaped	escapes	escaped
trace	traced	traces	traced
escarp	escarped	escarps	escarped
track	tracked	tracks	tracked
eschew	eschewed	eschews	eschewed
escort	escorted	escorts	escorted
trade	traded	trades	traded
espouse	espoused	espouses	espoused
espy	espied	espies	espied
essay	essayed	essays	essayed
establish	established	establishes	established
traduce	traduced	traduces	traduced
esteem	esteemed	esteems	esteemed
traffic	trafficked	traffics	trafficked
estimate	estimated	estimates	estimated
estrange	estranged	estranges	estranged
etch	etched	etches	etched
trail	trailed	trails	trailed
train	trained	trains	trained
traipse	traipsed	traipses	traipsed
trammel	trammelled	trammels	trammelled
etiolate	etiolated	etiolates	etiolated
tramp	tramped	tramps	tramped
trample	trampled	tramples	trampled
tranquillize	tranquillized	tranquillizes	tranquillized
transact	transacted	transacts	transacted
eulogize	eulogized	eulogizes	eulogized
transcend	transcended	transcends	transcended
transcribe	transcribed	transcribes	transcribed
transfer	transferred	transfers	transferred
transfigure	transfigured	transfigures	transfigured
transfix	transfixed	transfixes	transfixed
transform	transformed	transforms	transformed
transfuse	transfused	transfuses	transfused
evacuate	evacuated	evacuates	evacuated
transgress	transgressed	transgresses	transgressed
evade	evaded	evades	evaded
evaluate	evaluated	evaluates	evaluated
evanesce	evanesced	evanesces	evanesced
transistorize	transistorized	transistorizes	transistorized
evangelize	evangelized	evangelizes	evangelized
evaporate	evaporated	evaporates	evaporated
translate	translated	translates	translated
transliterate	transliterated	transliterates	transliterated
transmigrate	transmigrated	transmigrates	transmigrated
even	evened	evens	evened
transmit	transmitted	transmits	transmitted
transmogrify	transmogrified	transmogrifies	transmogrified
transmute	transmuted	transmutes	transmuted
transpire	transpired	transpires	transpired
transplant	transplanted	transplants	transplanted
transport	transported	transports	transported
transpose	transposed	transposes	transposed
transship	transshipped	transships	transshipped
transubstantiate	transubstantiated	transubstantiates	transubstantiated
trap	trapped	traps	trapped
evict	evicted	evicts	evicted
evidence	evidenced	evidences	evidenced
evince	evinced	evinces	evinced
eviscerate	eviscerated	eviscerates	eviscerated
travel	travelled	travels	travelled
evoke	evoked	evokes	evoked
evolve	evolved	evolves	evolved
exacerbate	exacerbated	exacerbates	exacerbated
exact	exacted	exacts	exacted
traverse	traversed	traverses	traversed
travesty	travestied	travesties	travestied
exaggerate	exaggerated	exaggerates	exaggerated
trawl	trawled	trawls	trawled
exalt	exalted	exalts	exalted
examine	examined	examines	examined
tread	trod	treads	trod
exasperate	exasperated	exasperates	exasperated
treadle	treadled	treadles	treadled
excavate	excavated	excavates	excavated
treasure	treasured	treasures	treasured
exceed	exceeded	exceeds	exceeded
excel	excelled	excels	excelled
treat	treated	treats	treated
except	excepted	excepts	excepted
treble	trebled	trebles	trebled
tree	treed	trees	treed
exchange	exchanged	exchanges	exchanged
trek	trekked	treks	trekked
trellis	trellised	trellises	trellised
excise	excised	excises	excised
tremble	trembled	trembles	trembled
excite	excited	excites	excited
exclaim	exclaimed	exclaims	exclaimed
trench	trenched	trenches	trenched
exclude	excluded	excludes	excluded
trend	trended	trends	trended
trepan	trepanned	trepans	trepanned
excogitate	excogitated	excogitates	excogitated
trephine	trephined	trephines	trephined
excommunicate	excommunicated	excommunicates	excommunicated
excoriate	excoriated	excoriates	excoriated
trespass	trespassed	trespasses	trespassed
excrete	excreted	excretes	excreted
excruciate	excruciated	excruciates	excruciated
exculpate	exculpated	exculpates	exculpated
excuse	excused	excuses	excused
execrate	execrated	execrates	execrated
execute	executed	executes	executed
trick	tricked	tricks	tricked
exemplify	exemplified	exemplifies	exemplified
exempt	exempted	exempts	exempted
trickle	trickled	trickles	trickled
exercise	exercised	exercises	exercised
exert	exerted	exerts	exerted
exhale	exhaled	exhales	exhaled
exhaust	exhausted	exhausts	exhausted
trigger	triggered	triggers	triggered
exhibit	exhibited	exhibits	exhibited
exhilarate	exhilarated	exhilarates	exhilarated
trill	trilled	trills	trilled
exhort	exhorted	exhorts	exhorted
exhume	exhumed	exhumes	exhumed
trim	trimmed	trims	trimmed
exile	exiled	exiles	exiled
exist	existed	exists	existed
trip	tripped	trips	tripped
exit	exited	exits	exited
triple	tripled	triples	tripled
exonerate	exonerated	exonerates	exonerated
triplicate	triplicated	triplicates	triplicated
exorcize	exorcized	exorcizes	exorcized
expand	expanded	expands	expanded
trisect	trisected	trisects	trisected
triumph	triumphed	triumphs	triumphed
expatiate	expatiated	expatiates	expatiated
expatriate	expatriated	expatriates	expatriated
expect	expected	expects	expected
trivialize	trivialized	trivializes	trivialized
expectorate	expectorated	expectorates	expectorated
troll	trolled	trolls	trolled
expedite	expedited	expedites	expedited
expel	expelled	expels	expelled
expend	expended	expends	expended
troop	trooped	troops	trooped
experience	experienced	experiences	experienced
experiment	experimented	experiments	experimented
trot	trotted	trots	trotted
expiate	expiated	expiates	expiated
expire	expired	expires	expired
trouble	troubled	troubles	troubled
explain	explained	explains	explained
trounce	trounced	trounces	trounced
