Present_Transcription	Past_Transcription	Count	Present_Orthography	Past_Orthography	Regular_or_Irregular
ʌ.n.l.ɑ.k	ʌ.n.l.ɑ.k.t	266	unlock	unlocked	reg
h.i.l	h.i.l.d	265	heal	healed	reg
ɹ.ɪ.p	ɹ.ɪ.p.t	265	rip	ripped	reg
t.ɑ.l.ɚ.eɪ.t	t.ɑ.l.ɚ.eɪ.t.ʌ.d	265	tolerate	tolerated	reg
ʌ.k.ɑ.m.ʌ.d.eɪ.t	ʌ.k.ɑ.m.ʌ.d.eɪ.t.ʌ.d	263	accommodate	accommodated	reg
ɪ.n.ɪ.ʃ.i.eɪ.t	ɪ.n.ɪ.ʃ.i.eɪ.t.ʌ.d	263	initiate	initiated	reg
p.ɹ.ʌ.n.aʊ.n.s	p.ɹ.ʌ.n.aʊ.n.s.t	263	pronounce	pronounced	reg
s.k.ɹ.æ.m.b.ʌ.l	s.k.ɹ.æ.m.b.ʌ.l.d	263	scramble	scrambled	reg
s.t.ɪ.ɹ	s.t.ɪ.ɹ.d	263	steer	steered	reg
ɹ.i.p.ɹ.ʌ.d.u.s	ɹ.i.p.ɹ.ʌ.d.u.s.t	262	reproduce	reproduced	reg
ɹ.ɑ.b	ɹ.ɑ.b.d	262	rob	robbed	reg
w.ɚ.ʃ.ʌ.p	w.ɚ.ʃ.ʌ.p.t	262	worship	worshipped	reg
d.ɪ.s.t.ɔ.ɹ.t	d.ɪ.s.t.ɔ.ɹ.t.ʌ.d	261	distort	distorted	reg
g.ɹ.ɪ.p	g.ɹ.ɪ.p.t	261	grip	gripped	reg
t.ɹ.eɪ.l	t.ɹ.eɪ.l.d	261	trail	trailed	reg
t.ɪ.l.t	t.ɪ.l.t.ʌ.d	260	tilt	tilted	reg
d.ɪ.s.p.aɪ.z	d.ɪ.s.p.aɪ.z.d	259	despise	despised	reg
t.ɹ.ɑ.t	t.ɹ.ɑ.t.ʌ.d	259	trot	trotted	reg
tʃ.oʊ.k	tʃ.oʊ.k.t	258	choke	choked	reg
ɛ.n.t.ɚ.t.eɪ.n	ɛ.n.t.ɚ.t.eɪ.n.d	258	entertain	entertained	reg
d.ɪ.s.ʌ.g.ɹ.i	d.ɪ.s.ʌ.g.ɹ.i.d	257	disagree	disagreed	reg
d.ɪ.s.p.oʊ.z	d.ɪ.s.p.oʊ.z.d	257	dispose	disposed	reg
ɹ.ʌ.k.ɹ.u.t	ɹ.ɪ.k.ɹ.u.t.ɪ.d	257	recruit	recruited	reg
d.ɪ.k.ɹ.i.s	d.ɪ.k.ɹ.i.s.t	256	decrease	decreased	reg
m.ʌ.l.t.ʌ.p.l.aɪ	m.ʌ.l.t.ʌ.p.l.aɪ.d	256	multiply	multiplied	reg
ɹ.i.b.ɪ.l.d	ɹ.i.b.ɪ.l.t	256	rebuild	rebuilt	irreg
k.ʌ.n.s.i.d	k.ʌ.n.s.i.d.ɪ.d	255	concede	conceded	reg
ɹ.ɪ.z.ɚ.v	ɹ.ɪ.z.ɚ.v.d	255	reserve	reserved	reg
æ.d.v.ʌ.k.ʌ.t	æ.d.v.ʌ.k.eɪ.t.ɪ.d	254	advocate	advocated	reg
p.oʊ.k	p.oʊ.k.t	254	poke	poked	reg
s.ɚ.v.eɪ	s.ɚ.v.eɪ.d	253	survey	surveyed	reg
ɑ.n.ɚ	ɑ.n.ɚ.d	252	honour	honoured	reg
s.æ.k.ɹ.ʌ.f.aɪ.s	s.æ.k.ɹ.ʌ.f.aɪ.s.t	252	sacrifice	sacrificed	reg
k.ʌ.l.t.ʌ.v.eɪ.t	k.ʌ.l.t.ʌ.v.eɪ.t.ɪ.d	251	cultivate	cultivated	reg
ʌ.t.ɚ	ʌ.t.ɚ.d	251	utter	uttered	reg
tʃ.i.t	tʃ.i.t.ʌ.d	250	cheat	cheated	reg
k.ɹ.aʊ.tʃ	k.ɹ.aʊ.tʃ.t	250	crouch	crouched	reg
ɛ.n.h.æ.n.s	ɛ.n.h.æ.n.s.t	250	enhance	enhanced	reg
ɪ.k.s.k.l.eɪ.m	ɪ.k.s.k.l.eɪ.m.d	250	exclaim	exclaimed	reg
ɹ.ɑ.k	ɹ.ɑ.k.t	250	rock	rocked	reg
k.eɪ.t.ɚ	k.eɪ.t.ɚ.d	249	cater	catered	reg
k.ɑ.ŋ.k.ɚ	k.ɑ.ŋ.k.ɚ.d	249	conquer	conquered	reg
ʃ.eɪ.v	ʃ.eɪ.v.d	249	shave	shaved	reg
t.i.z	t.i.z.d	249	tease	teased	reg
ɪ.n.t.ɚ.v.i.n	ɪ.n.t.ɚ.v.i.n.d	247	intervene	intervened	reg
s.æ.n.d.w.ɪ.tʃ	s.æ.n.d.w.ɪ.tʃ.t	247	sandwich	sandwiched	reg
b.l.ɪ.ŋ.k	b.l.ɪ.ŋ.k.t	246	blink	blinked	reg
h.ɔ.n.t	h.ɔ.n.t.ʌ.d	246	haunt	haunted	reg
h.aʊ.s	h.aʊ.z.d	246	house	housed	reg
s.k.w.ɛ.ɹ	s.k.w.ɛ.ɹ.d	246	square	squared	reg
b.ɪ.w.ɪ.l.d.ɚ	b.ɪ.w.ɪ.l.d.ɚ.d	245	bewilder	bewildered	reg
f.l.ʌ.ʃ	f.l.ʌ.ʃ.t	245	flush	flushed	reg
m.ɑ.n.ʌ.t.ɚ	m.ɑ.n.ʌ.t.ɚ.d	245	monitor	monitored	reg
h.ɔ.ɹ.ʌ.f.aɪ	h.ɔ.ɹ.ʌ.f.aɪ.d	244	horrify	horrified	reg
ɹ.i.s.t.ɹ.ɪ.k.t	ɹ.i.s.t.ɹ.ɪ.k.t.ʌ.d	244	restrict	restricted	reg
s.ɪ.g.n.ʌ.l	s.ɪ.g.n.ʌ.l.d	243	signal	signalled	reg
s.t.eɪ.dʒ	s.t.eɪ.dʒ.d	243	stage	staged	reg
d.ʌ.p.ɑ.z.ɪ.t	d.ʌ.p.ɑ.z.ɪ.t.ɪ.d	242	deposit	deposited	reg
h.i.v	h.i.v.d	242	heave	heaved	reg
ʌ.w.ɔ.ɹ.d	ʌ.w.ɔ.ɹ.d.ɪ.d	241	award	awarded	reg
ɛ.n.l.ɑ.ɹ.dʒ	ɛ.n.l.ɑ.ɹ.dʒ.d	241	enlarge	enlarged	reg
f.l.ɪ.k.ɚ	f.l.ɪ.k.ɚ.d	241	flicker	flickered	reg
w.aɪ.d.ʌ.n	w.aɪ.d.ʌ.n.d	241	widen	widened	reg
s.t.æ.g.ɚ	s.t.æ.g.ɚ.d	240	stagger	staggered	reg
s.t.ɛ.m	s.t.ɛ.m.d	239	stem	stemmed	reg
ʌ.s.t.ɑ.n.ɪ.ʃ	ʌ.s.t.ɑ.n.ɪ.ʃ.t	238	astonish	astonished	reg
ɹ.eɪ.dʒ	ɹ.eɪ.dʒ.d	238	rage	raged	reg
t.ɑ.p	t.ɑ.p.t	238	top	topped	reg
d.ɪ.s.i.v	d.ɪ.s.i.v.d	237	deceive	deceived	reg
h.ɔ.l	h.ɔ.l.d	237	haul	hauled	reg
m.ʌ.n.ɪ.p.j.ʌ.l.eɪ.t	m.ʌ.n.ɪ.p.j.ʌ.l.eɪ.t.ɪ.d	237	manipulate	manipulated	reg
m.oʊ.n	m.oʊ.n.d	237	moan	moaned	reg
ɹ.ɪ.g.eɪ.n	ɹ.i.g.eɪ.n.d	237	regain	regained	reg
s.t.ɹ.aɪ.v	s.t.ɹ.oʊ.v	237	strive	strove	irreg
k.ɑ.n.t.æ.k.t	k.ɑ.n.t.æ.k.t.ɪ.d	235	contact	contacted	reg
p.ʌ.z.ʌ.l	p.ʌ.z.ʌ.l.d	235	puzzle	puzzled	reg
ʌ.t.eɪ.n	ʌ.t.eɪ.n.d	234	attain	attained	reg
w.ɪ.p	w.ɪ.p.t	234	whip	whipped	reg
d.ɪ.k.t.eɪ.t	d.ɪ.k.t.eɪ.t.ɪ.d	233	dictate	dictated	reg
f.ɔ.ɹ.m.j.ʌ.l.eɪ.t	f.ɔ.ɹ.m.j.ʌ.l.eɪ.t.ʌ.d	233	formulate	formulated	reg
f.ʌ.ŋ.k.ʃ.ʌ.n	f.ʌ.ŋ.k.ʃ.ʌ.n.d	233	function	functioned	reg
ɪ.m.p.l.ʌ.m.ʌ.n.t	ɪ.m.p.l.ʌ.m.ɛ.n.t.ʌ.d	233	implement	implemented	reg
v.ɛ.n.tʃ.ɚ	v.ɛ.n.tʃ.ɚ.d	233	venture	ventured	reg
p.ɹ.i.tʃ	p.ɹ.i.tʃ.t	232	preach	preached	reg
ɹ.i.s.t.ɹ.eɪ.n	ɹ.i.s.t.ɹ.eɪ.n.d	232	restrain	restrained	reg
s.t.ɹ.oʊ.l	s.t.ɹ.oʊ.l.d	232	stroll	strolled	reg
d.æ.ʃ	d.æ.ʃ.t	231	dash	dashed	reg
ɪ.g.z.æ.dʒ.ɚ.eɪ.t	ɪ.g.z.æ.dʒ.ɚ.eɪ.t.ʌ.d	231	exaggerate	exaggerated	reg
ɛ.k.s.ʌ.k.j.u.t	ɛ.k.s.ʌ.k.j.u.t.ɪ.d	231	execute	executed	reg
f.ʌ.n.d	f.ʌ.n.d.ʌ.d	231	fund	funded	reg
ʃ.ʌ.d.ɚ	ʃ.ʌ.d.ɚ.d	231	shudder	shuddered	reg
d.æ.z.ʌ.l	d.æ.z.ʌ.l.d	230	dazzle	dazzled	reg
ɹ.ɪ.k.w.ɛ.s.t	ɹ.ɪ.k.w.ɛ.s.t.ɪ.d	230	request	requested	reg
b.oʊ.l	b.oʊ.l.d	229	bowl	bowled	reg
ɪ.g.z.ɚ.t	ɪ.g.z.ɚ.t.ɪ.d	229	exert	exerted	reg
f.l.æ.t.ɚ	f.l.æ.t.ɚ.d	229	flatter	flattered	reg
s.n.ɪ.f	s.n.ɪ.f.t	229	sniff	sniffed	reg
k.ɑ.m	k.ɑ.m.d	228	calm	calmed	reg
k.æ.m.p.eɪ.n	k.æ.m.p.eɪ.n.d	228	campaign	campaigned	reg
g.ɹ.æ.dʒ.ʌ.w.ʌ.t	g.ɹ.æ.dʒ.u.eɪ.t.ɪ.d	228	graduate	graduated	reg
w.ɪ.s.ʌ.l	w.ɪ.s.ʌ.l.d	228	whistle	whistled	reg
f.ɹ.eɪ.m	f.ɹ.eɪ.m.d	227	frame	framed	reg
b.ɑ.m	b.ɑ.m.d	225	bomb	bombed	reg
d.aɪ.v	d.aɪ.v.d	225	dive	dived	irreg
ɛ.n.v.ɪ.z.ɪ.dʒ	ɛ.n.v.ɪ.z.ɪ.dʒ.d	225	envisage	envisaged	reg
f.l.ʌ.t.ɚ	f.l.ʌ.t.ɚ.d	225	flutter	fluttered	reg
s.aʊ	s.aʊ.d	225	sow	sowed	reg
s.t.ɹ.aɪ.d	s.t.ɹ.oʊ.d	225	stride	strode	irreg
k.l.æ.s.p	k.l.æ.s.p.t	224	clasp	clasped	reg
h.ɚ.l	h.ɚ.l.d	224	hurl	hurled	reg
k.ɑ.f	k.ɔ.f.t	223	cough	coughed	reg
h.æ.m.ɚ	h.æ.m.ɚ.d	223	hammer	hammered	reg
ɪ.m.ʌ.t.eɪ.t	ɪ.m.ʌ.t.eɪ.t.ɪ.d	223	imitate	imitated	reg
p.ɹ.ɪ.s.i.d	p.ɹ.ɪ.s.i.d.ɪ.d	223	precede	preceded	reg
k.ɚ.v	k.ɚ.v.d	222	curve	curved	reg
s.k.ɹ.eɪ.p	s.k.ɹ.eɪ.p.t	222	scrape	scraped	reg
h.ɔ.l.t	h.ɔ.l.t.ʌ.d	221	halt	halted	reg
ɛ.n.v.i	ɛ.n.v.i.d	220	envy	envied	reg
s.u	s.u.d	220	sue	sued	reg
m.ɑ.ɹ.k.ʌ.t	m.ɑ.ɹ.k.ʌ.t.ʌ.d	219	market	marketed	reg
eɪ.k	eɪ.k.t	218	ache	ached	reg
ʌ.d.ɔ.ɹ	ʌ.d.ɔ.ɹ.d	218	adore	adored	reg
s.ɚ.k.j.ʌ.l.eɪ.t	s.ɚ.k.j.ʌ.l.eɪ.t.ʌ.d	218	circulate	circulated	reg
ɪ.ɹ.ɛ.k.t	ɪ.ɹ.ɛ.k.t.ʌ.d	218	erect	erected	reg
ɪ.g.z.ɪ.b.ɪ.t	ɪ.g.z.ɪ.b.ʌ.t.ʌ.d	218	exhibit	exhibited	reg
s.t.ʌ.n	s.t.ʌ.n.d	218	stun	stunned	reg
b.l.ɚ	b.l.ɚ.d	217	blur	blurred	reg
k.ɑ.m.p.ʌ.n.s.eɪ.t	k.ɑ.m.p.ʌ.n.s.eɪ.t.ʌ.d	217	compensate	compensated	reg
g.l.ɛ.ɹ	g.l.ɛ.ɹ.d	217	glare	glared	reg
p.ɹ.oʊ.g.ɹ.æ.m	p.ɹ.oʊ.g.ɹ.æ.m.d	217	programme	programmed	reg
d.aɪ.v.ɚ.t	d.aɪ.v.ɚ.t.ɪ.d	216	divert	diverted	reg
s.ʌ.b.dʒ.ɛ.k.t	s.ʌ.b.dʒ.ɛ.k.t.ɪ.d	216	subject	subjected	reg
t.ɹ.ɛ.d	t.ɹ.ɑ.d	216	tread	trod	irreg
ɪ.n.t.ɹ.i.g	ɪ.n.t.ɹ.i.g.d	215	intrigue	intrigued	reg
l.ɛ.v.ʌ.l	l.ɛ.v.ʌ.l.d	215	level	levelled	reg
l.ɪ.ŋ.g.ɚ	l.ɪ.ŋ.g.ɚ.d	215	linger	lingered	reg
ʃ.ʌ.v	ʃ.ʌ.v.d	215	shove	shoved	reg
h.ʌ.v.ɚ	h.ʌ.v.ɚ.d	214	hover	hovered	reg
n.æ.ʃ.ʌ.n.ʌ.l.aɪ.z	n.æ.ʃ.ʌ.n.ʌ.l.aɪ.z.d	214	nationalize	nationalized	reg
s.t.eɪ.n	s.t.eɪ.n.d	214	stain	stained	reg
θ.ɹ.aɪ.v	θ.ɹ.aɪ.v.d	213	thrive	thrived	reg
ʌ.w.eɪ.k.ʌ.n	ʌ.w.eɪ.k.ʌ.n.d	212	awaken	awakened	reg
aɪ.s.ʌ.l.eɪ.t	aɪ.s.ʌ.l.eɪ.t.ʌ.d	212	isolate	isolated	reg
m.ɚ.dʒ	m.ɚ.dʒ.d	212	merge	merged	reg
f.oʊ.t.ʌ.g.ɹ.æ.f	f.oʊ.t.ʌ.g.ɹ.æ.f.t	212	photograph	photographed	reg
p.ɹ.ɑ.m.p.t	p.ɹ.ɑ.m.p.t.ʌ.d	212	prompt	prompted	reg
s.ʌ.b.s.ɪ.d.aɪ.z	s.ʌ.b.s.ɪ.d.aɪ.z.d	212	subsidize	subsidized	reg
b.oʊ.s.t	b.oʊ.s.t.ʌ.d	211	boast	boasted	reg
d.ʌ.b.eɪ.t	d.ʌ.b.eɪ.t.ɪ.d	211	debate	debated	reg
f.ɔ.ɹ.s.i	f.ɔ.ɹ.s.ɔ	211	foresee	foresaw	irreg
ʃ.ʌ.f.ʌ.l	ʃ.ʌ.f.ʌ.l.d	211	shuffle	shuffled	reg
ʌ.d.m.ɪ.n.ɪ.s.t.ɚ	ʌ.d.m.ɪ.n.ɪ.s.t.ɚ.d	210	administer	administered	reg
k.ʌ.n.f.ɔ.ɹ.m	k.ʌ.n.f.ɔ.ɹ.m.d	210	conform	conformed	reg
p.oʊ.s.t.p.oʊ.n	p.oʊ.s.t.p.oʊ.n.d	210	postpone	postponed	reg
tʃ.æ.t	tʃ.æ.t.ʌ.d	209	chat	chatted	reg
k.aʊ.n.t.ɚ	k.aʊ.n.t.ɚ.d	209	counter	countered	reg
d.ɑ.ɹ.k.ʌ.n	d.ɑ.ɹ.k.ʌ.n.d	209	darken	darkened	reg
d.ɪ.p.ɪ.k.t	d.ɪ.p.ɪ.k.t.ʌ.d	209	depict	depicted	reg
d.ɹ.ɪ.l	d.ɹ.ɪ.l.d	209	drill	drilled	reg
ɹ.ɑ.t	ɹ.ɑ.t.ɪ.d	209	rot	rotted	reg
s.l.aɪ.s	s.l.aɪ.s.t	209	slice	sliced	reg
k.l.æ.p	k.l.æ.p.t	208	clap	clapped	reg
ɹ.ɪ.p.ɛ.ɹ	ɹ.ɪ.p.ɛ.ɹ.d	208	repair	repaired	reg
ʃ.ɹ.i.k	ʃ.ɹ.i.k.t	208	shriek	shrieked	reg
ɪ.k.s.aɪ.t	ɪ.k.s.aɪ.t.ʌ.d	207	excite	excited	reg
ɛ.m.b.ɑ.ɹ.k	ɛ.m.b.ɑ.ɹ.k.t	206	embark	embarked	reg
ɪ.n.h.æ.b.ʌ.t	ɪ.n.h.æ.b.ʌ.t.ʌ.d	206	inhabit	inhabited	reg
s.t.ɹ.æ.ŋ.g.ʌ.l	s.t.ɹ.æ.ŋ.g.ʌ.l.d	206	strangle	strangled	reg
s.t.ɹ.ʌ.k.tʃ.ɚ	s.t.ɹ.ʌ.k.tʃ.ɚ.d	206	structure	structured	reg
d.ɪ.n.aʊ.n.s	d.ɪ.n.aʊ.n.s.t	205	denounce	denounced	reg
ɪ.n.s.ɚ.t	ɪ.n.s.ɚ.t.ʌ.d	205	insert	inserted	reg
p.ɹ.ɪ.z.u.m	p.ɹ.ʌ.z.u.m.d	205	presume	presumed	reg
p.ɹ.ɪ.v.eɪ.l	p.ɹ.ɪ.v.eɪ.l.d	205	prevail	prevailed	reg
p.ɹ.ʌ.s.k.ɹ.aɪ.b	p.ɹ.i.s.k.ɹ.aɪ.b.d	204	prescribe	prescribed	reg
s.p.ɹ.ɪ.ŋ.k.ʌ.l	s.p.ɹ.ɪ.ŋ.k.ʌ.l.d	204	sprinkle	sprinkled	reg
d.ɪ.f.aɪ	d.ɪ.f.aɪ.d	203	defy	defied	reg
d.ɪ.p.l.ɔɪ	d.ɪ.p.l.ɔɪ.d	203	deploy	deployed	reg
h.ʌ.g	h.ʌ.g.d	203	hug	hugged	reg
k.ɪ.d	k.ɪ.d.ɪ.d	203	kid	kidded	reg
s.t.ɹ.i.m	s.t.ɹ.i.m.d	203	stream	streamed	reg
k.oʊ.ɑ.p.ɚ.eɪ.t	k.oʊ.ɑ.p.ɚ.eɪ.t.ʌ.d	202	cooperate	cooperated	reg
dʒ.oʊ.k	dʒ.oʊ.k.t	202	joke	joked	reg
b.ʌ.l.dʒ	b.ʌ.l.dʒ.d	201	bulge	bulged	reg
s.ɚ.k.ʌ.l	s.ɚ.k.ʌ.l.d	201	circle	circled	reg
s.oʊ	s.oʊ.d	201	sew	sewed	reg
k.ʌ.m.p.ɹ.aɪ.z	k.ʌ.m.p.ɹ.aɪ.z.d	200	comprise	comprised	reg
g.ɹ.oʊ.n	g.ɹ.oʊ.n.d	200	groan	groaned	reg
t.ʌ.m.b.ʌ.l	t.ʌ.m.b.ʌ.l.d	200	tumble	tumbled	reg
h.j.u.m.ɪ.l.i.eɪ.t	h.j.u.m.ɪ.l.i.eɪ.t.ɪ.d	199	humiliate	humiliated	reg
dʒ.æ.m	dʒ.æ.m.d	199	jam	jammed	reg
t.ɹ.æ.k	t.ɹ.æ.k.t	199	track	tracked	reg
ɹ.oʊ.t.eɪ.t	ɹ.oʊ.t.eɪ.t.ɪ.d	198	rotate	rotated	reg
s.m.u.ð	s.m.u.ð.d	198	smooth	smoothed	reg
s.t.æ.k	s.t.æ.k.t	198	stack	stacked	reg
ɪ.n.f.ɛ.k.t	ɪ.n.f.ɛ.k.t.ɪ.d	197	infect	infected	reg
k.ɹ.ʌ.m.b.ʌ.l	k.ɹ.ʌ.m.b.ʌ.l.d	196	crumble	crumbled	reg
l.ɪ.k	l.ɪ.k.t	196	lick	licked	reg
s.k.ɛ.dʒ.ʊ.l	s.k.ɛ.dʒ.ʊ.l.d	196	schedule	scheduled	reg
t.ɔ.ɹ.tʃ.ɚ	t.ɔ.ɹ.tʃ.ɚ.d	196	torture	tortured	reg
l.ɪ.b.ɚ.eɪ.t	l.ɪ.b.ɚ.eɪ.t.ɪ.d	195	liberate	liberated	reg
b.l.ʌ.ʃ	b.l.ʌ.ʃ.t	194	blush	blushed	reg
s.ɑ.b	s.ɑ.b.d	194	sob	sobbed	reg
t.u.n	t.u.n.d	194	tune	tuned	reg
ɪ.k.s.p.ɛ.l	ɪ.k.s.p.ɛ.l.d	193	expel	expelled	reg
f.l.æ.p	f.l.æ.p.t	193	flap	flapped	reg
l.ɛ.k.tʃ.ɚ	l.ɛ.k.tʃ.ɚ.d	193	lecture	lectured	reg
b.ʌ.m.p	b.ʌ.m.p.t	192	bump	bumped	reg
s.aɪ.t	s.aɪ.t.ʌ.d	192	cite	cited	reg
p.eɪ.s	p.eɪ.s.t	192	pace	paced	reg
s.t.i.m	s.t.i.m.d	192	steam	steamed	reg
t.ʌ.g	t.ʌ.g.d	192	tug	tugged	reg
b.u.m	b.u.m.d	191	boom	boomed	reg
ɪ.m.p.ɹ.ɪ.z.ʌ.n	ɪ.m.p.ɹ.ɪ.z.ʌ.n.d	190	imprison	imprisoned	reg
p.ɹ.ɪ.z.aɪ.d	p.ɹ.ɪ.z.aɪ.d.ɪ.d	190	preside	presided	reg
v.æ.l.j.u	v.æ.l.j.u.d	190	value	valued	reg
k.oʊ.ɪ.n.s.aɪ.d	k.oʊ.ʌ.n.s.aɪ.d.ʌ.d	189	coincide	coincided	reg
k.ɹ.æ.m	k.ɹ.æ.m.d	189	cram	crammed	reg
k.ɹ.ɪ.p.ʌ.l	k.ɹ.ɪ.p.ʌ.l.d	189	cripple	crippled	reg
d.u.m	d.u.m.d	189	doom	doomed	reg
f.i.tʃ.ɚ	f.i.tʃ.ɚ.d	189	feature	featured	reg
h.ɪ.n.t	h.ɪ.n.t.ʌ.d	189	hint	hinted	reg
s.p.ɛ.k.j.ʌ.l.eɪ.t	s.p.ɛ.k.j.ʌ.l.eɪ.t.ʌ.d	189	speculate	speculated	reg
ɹ.ɪ.ŋ.k.ʌ.l	ɹ.ɪ.ŋ.k.ʌ.l.d	189	wrinkle	wrinkled	reg
k.ɔ.ɹ.ʌ.s.p.ɑ.n.d	k.ɔ.ɹ.ʌ.s.p.ɑ.n.d.ɪ.d	188	correspond	corresponded	reg
d.ɪ.s.t.ɹ.ɛ.s	d.ɪ.s.t.ɹ.ɛ.s.t	188	distress	distressed	reg
f.ɔ.ɹ.k.æ.s.t	f.ɔ.ɹ.k.æ.s.t.ɪ.d	188	forecast	forecasted	irreg
g.l.ɪ.t.ɚ	g.l.ɪ.t.ɚ.d	188	glitter	glittered	reg
s.k.ɹ.ʌ.b	s.k.ɹ.ʌ.b.d	188	scrub	scrubbed	reg
m.oʊ.t.ʌ.v.eɪ.t	m.oʊ.t.ʌ.v.eɪ.t.ʌ.d	187	motivate	motivated	reg
ɹ.eɪ.p	ɹ.eɪ.p.t	187	rape	raped	reg
f.æ.s.ʌ.n	f.æ.s.ʌ.n.d	186	fasten	fastened	reg
p.ɚ.tʃ	p.ɚ.tʃ.t	186	perch	perched	reg
p.ɪ.tʃ	p.ɪ.tʃ.t	186	pitch	pitched	reg
p.ʌ.n.tʃ	p.ʌ.n.tʃ.t	186	punch	punched	reg
ɪ.n.s.ʌ.l.t	ɪ.n.s.ʌ.l.t.ɪ.d	185	insult	insulted	reg
l.i.k	l.i.k.t	185	leak	leaked	reg
s.ɛ.n.t.ʌ.n.s	s.ɛ.n.t.ʌ.n.s.t	185	sentence	sentenced	reg
ʌ.n.d.ɚ.l.aɪ.n	ʌ.n.d.ɚ.l.aɪ.n.d	185	underline	underlined	reg
d.ɪ.t.ɚ	d.ɪ.t.ɚ.d	184	deter	deterred	reg
ʌ.b.s.ɛ.s	ʌ.b.s.ɛ.s.t	184	obsess	obsessed	reg
d.ɹ.ɪ.p	d.ɹ.ɪ.p.t	183	drip	dripped	reg
w.ɚ.l	w.ɚ.l.d	183	whirl	whirled	reg
ɹ.ɛ.k	ɹ.ɛ.k.t	183	wreck	wrecked	reg
ɛ.k.s.p.ɔ.ɹ.t	ɪ.k.s.p.ɔ.ɹ.t.ʌ.d	182	export	exported	reg
b.ɑ.ɹ.k	b.ɑ.ɹ.k.t	181	bark	barked	reg
b.ɹ.u.d	b.ɹ.u.d.ɪ.d	181	brood	brooded	reg
k.ɑ.n.t.ɹ.æ.s.t	k.ʌ.n.t.ɹ.æ.s.t.ʌ.d	181	contrast	contrasted	reg
d.ɛ.d.ʌ.k.eɪ.t	d.ɛ.d.ʌ.k.eɪ.t.ʌ.d	181	dedicate	dedicated	reg
h.ɑ.ɹ.m	h.ɑ.ɹ.m.d	181	harm	harmed	reg
ɪ.n.dʒ.ɚ	ɪ.n.dʒ.ɚ.d	180	injure	injured	reg
m.ɪ.ŋ.g.ʌ.l	m.ɪ.ŋ.g.ʌ.l.d	180	mingle	mingled	reg
s.ɔ.ɹ	s.ɔ.ɹ.d	180	soar	soared	reg
s.p.ɛ.ʃ.ʌ.l.aɪ.z	s.p.ɛ.ʃ.ʌ.l.aɪ.z.d	180	specialize	specialized	reg
s.p.l.æ.ʃ	s.p.l.æ.ʃ.t	180	splash	splashed	reg
s.p.ɹ.eɪ	s.p.ɹ.eɪ.d	180	spray	sprayed	reg
k.ɑ.n.v.ɪ.k.t	k.ʌ.n.v.ɪ.k.t.ʌ.d	179	convict	convicted	reg
ɪ.k.w.ɪ.p	ɪ.k.w.ɪ.p.t	179	equip	equipped	reg
h.ɑ.ɹ.d.ʌ.n	h.ɑ.ɹ.d.ʌ.n.d	179	harden	hardened	reg
g.ɹ.oʊ.p	g.ɹ.oʊ.p.t	178	grope	groped	reg
ɹ.i.s.aɪ.k.ʌ.l	ɹ.i.s.aɪ.k.ʌ.l.d	178	recycle	recycled	reg
ɹ.i.h.ɚ.s	ɹ.i.h.ɚ.s.t	178	rehearse	rehearsed	reg
t.w.ɪ.tʃ	t.w.ɪ.tʃ.t	178	twitch	twitched	reg
d.ɪ.s.p.ɚ.s	d.ɪ.s.p.ɚ.s.t	177	disperse	dispersed	reg
h.æ.n.d.i.k.æ.p	h.æ.n.d.i.k.æ.p.t	177	handicap	handicapped	reg
h.aʊ.l	h.aʊ.l.d	177	howl	howled	reg
ɪ.l.u.m.ɪ.n.ɪ.t	ɪ.l.u.m.ʌ.n.eɪ.t.ʌ.d	177	illuminate	illuminated	reg
k.l.ɛ.n.tʃ	k.l.ɛ.n.tʃ.t	176	clench	clenched	reg
ɛ.n.d.ɔ.ɹ.s	ɛ.n.d.ɔ.ɹ.s.t	176	endorse	endorsed	reg
p.æ.n.t	p.æ.n.t.ɪ.d	176	pant	panted	reg
s.æ.k	s.æ.k.t	176	sack	sacked	reg
s.w.ɚ.l	s.w.ɚ.l.d	176	swirl	swirled	reg
d.æ.ŋ.g.ʌ.l	d.æ.ŋ.g.ʌ.l.d	175	dangle	dangled	reg
ɚ.ɪ.dʒ.ʌ.n.eɪ.t	ɚ.ɪ.dʒ.ʌ.n.eɪ.t.ʌ.d	175	originate	originated	reg
ɹ.ʌ.f.ɔ.ɹ.m	ɹ.ɪ.f.ɔ.ɹ.m.d	175	reform	reformed	reg
ɛ.n.t.eɪ.l	ɪ.n.t.eɪ.l.d	174	entail	entailed	reg
m.ɪ.l.k	m.ɪ.l.k.t	174	milk	milked	reg
p.i.l	p.i.l.d	174	peel	peeled	reg
p.ɑ.n.d.ɚ	p.ɑ.n.d.ɚ.d	174	ponder	pondered	reg
k.ɑ.m.p.ɹ.ɛ.s	k.ʌ.m.p.ɹ.ɛ.s.t	173	compress	compressed	reg
f.ɔ.ɹ.dʒ	f.ɔ.ɹ.dʒ.d	173	forge	forged	reg
h.ɑ.ɹ.v.ʌ.s.t	h.ɑ.ɹ.v.ʌ.s.t.ɪ.d	173	harvest	harvested	reg
m.ɑ.k	m.ɑ.k.t	173	mock	mocked	reg
s.p.ɛ.s.ʌ.f.aɪ	s.p.ɛ.s.ʌ.f.aɪ.d	173	specify	specified	reg
l.u.m	l.u.m.d	172	loom	loomed	reg
