Present_Transcription	Past_Transcription
ɪ.m.p.ɹ.ɛ.s	ɪ.m.p.ɹ.ɛ.s.t
p.æ.k	p.æ.k.t
f.oʊ.l.d	f.oʊ.l.d.ʌ.d
ɪ.ʃ.u	ɪ.ʃ.u.d
k.ɑ.n.d.ʌ.k.t	k.ʌ.n.d.ʌ.k.t.ʌ.d
ʌ.b.z.ɔ.ɹ.b	ʌ.b.z.ɔ.ɹ.b.d
d.ɪ.s.p.l.eɪ	d.ɪ.s.p.l.eɪ.d
w.eɪ.s.t	w.eɪ.s.t.ʌ.d
d.ɹ.i.m	d.ɹ.i.m.d
w.aɪ.p	w.aɪ.p.t
ɹ.ɪ.l.eɪ.t	ɹ.ɪ.l.eɪ.t.ɪ.d
ɛ.m.f.ʌ.s.aɪ.z	ɛ.m.f.ʌ.s.aɪ.z.d
d.æ.m.ʌ.dʒ	d.æ.m.ʌ.dʒ.d
dʒ.ɛ.n.ɚ.eɪ.t	dʒ.ɛ.n.ɚ.eɪ.t.ʌ.d
w.ɑ.n.d.ɚ	w.ɑ.n.d.ɚ.d
s.i.s	s.i.s.t
ɹ.u.l	ɹ.u.l.d
ɪ.n.f.ɔ.ɹ.m	ɪ.n.f.ɔ.ɹ.m.d
l.æ.k	l.æ.k.t
ʌ.k.j.u.z	ʌ.k.j.u.z.d
f.eɪ.d	f.eɪ.d.ʌ.d
f.oʊ.n	f.oʊ.n.d
s.ʌ.k	s.ʌ.k.t
m.ɛ.ʒ.ɚ	m.ɛ.ʒ.ɚ.d
k.ɑ.n.v.ɚ.t	k.ʌ.n.v.ɚ.t.ɪ.d
l.ɪ.m.ʌ.t	l.ɪ.m.ʌ.t.ʌ.d
p.ɹ.ɪ.n.t	p.ɹ.ɪ.n.t.ʌ.d
æ.d.ɹ.ɛ.s	ʌ.d.ɹ.ɛ.s.t
eɪ.m	eɪ.m.d
ɹ.æ.p	ɹ.æ.p.t
d.ɪ.s.m.ɪ.s	d.ɪ.s.m.ɪ.s.t
s.l.aɪ.d	s.l.ɪ.d
ʌ.p.ɹ.i.ʃ.i.eɪ.t	ʌ.p.ɹ.i.ʃ.i.eɪ.t.ɪ.d
d.ɪ.l.aɪ.t	d.ɪ.l.aɪ.t.ʌ.d
ɪ.l.ɛ.k.t	ɪ.l.ɛ.k.t.ʌ.d
f.l.oʊ	f.l.oʊ.d
k.w.ɛ.s.tʃ.ʌ.n	k.w.ɛ.s.tʃ.ʌ.n.d
ɪ.g.z.ɔ.s.t	ɪ.g.z.ɔ.s.t.ɪ.d
ʃ.aɪ.n	ʃ.oʊ.n
ʌ.k.aʊ.n.t	ʌ.k.aʊ.n.t.ɪ.d
s.l.oʊ	s.l.oʊ.d
d.aʊ.t	d.aʊ.t.ɪ.d
æ.k.n.ɑ.l.ɪ.dʒ	æ.k.n.ɑ.l.ɪ.dʒ.d
ɛ.s.t.ʌ.m.ʌ.t	ɛ.s.t.ʌ.m.eɪ.t.ʌ.d
s.p.ɹ.ɪ.ŋ	s.p.ɹ.æ.ŋ
s.p.ɹ.ɪ.ŋ	s.p.ɹ.ʌ.ŋ
ɚ.ɛ.s.t	ɚ.ɛ.s.t.ʌ.d
g.ɹ.æ.b	g.ɹ.æ.b.d
ɪ.n.v.ɛ.n.t	ɪ.n.v.ɛ.n.t.ʌ.d
s.w.ɑ.l.oʊ	s.w.ɑ.l.oʊ.d
ɹ.ɪ.s.t.ɔ.ɹ	ɹ.ɪ.s.t.ɔ.ɹ.d
f.ɚ.g.ɪ.v	f.ɚ.g.eɪ.v
w.ɛ.l.k.ʌ.m	w.ɛ.l.k.ʌ.m.d
p.ɹ.ʌ.m.oʊ.t	p.ɹ.ʌ.m.oʊ.t.ʌ.d
f.l.oʊ.t	f.l.oʊ.t.ʌ.d
d.ɪ.k.l.aɪ.n	d.ɪ.k.l.aɪ.n.d
p.ɑ.ɹ.t	p.ɑ.ɹ.t.ʌ.d
s.ɪ.k.j.ʊ.ɹ	s.ɪ.k.j.ʊ.ɹ.d
s.i.z	s.i.z.d
oʊ.v.ɚ.k.ʌ.m	oʊ.v.ɚ.k.eɪ.m
s.w.ɛ.ɹ	s.w.ɔ.ɹ
k.ʌ.n.s.i.l	k.ʌ.n.s.i.l.d
d.ɹ.ɪ.f.t	d.ɹ.ɪ.f.t.ʌ.d
b.ɔ.ɹ	b.ɔ.ɹ.d
d.ɪ.s.t.ɪ.ŋ.g.w.ɪ.ʃ	d.ɪ.s.t.ɪ.ŋ.g.w.ɪ.ʃ.t
d.aɪ.n	d.aɪ.n.d
k.ʌ.n.s.ʌ.l.t	k.ʌ.n.s.ʌ.l.t.ʌ.d
ʃ.ɑ.k	ʃ.ɑ.k.t
ɹ.ɪ.t.aɪ.ɹ	ɹ.ɪ.t.aɪ.ɹ.d
t.ɹ.ʌ.b.ʌ.l	t.ɹ.ʌ.b.ʌ.l.d
g.ɹ.i.t	g.ɹ.i.t.ʌ.d
f.ɪ.ʃ	f.ɪ.ʃ.t
ɪ.l.ʌ.s.t.ɹ.eɪ.t	ɪ.l.ʌ.s.t.ɹ.eɪ.t.ʌ.d
l.ɔ.ŋ	l.ɔ.ŋ.d
h.aɪ.ɚ	h.aɪ.ɚ.d
m.æ.tʃ	m.æ.tʃ.t
t.ɹ.æ.n.s.f.ɚ	t.ɹ.æ.n.s.f.ɚ.d
b.ɑ.ɹ.oʊ	b.ɑ.ɹ.oʊ.d
g.eɪ.z	g.eɪ.z.d
ɹ.ɪ.m.ɑ.ɹ.k	ɹ.ɪ.m.ɑ.ɹ.k.t
s.t.ɔ.ɹ	s.t.ɔ.ɹ.d
ɛ.n.t.aɪ.t.ʌ.l	ɛ.n.t.aɪ.t.ʌ.l.d
l.i.p	l.ɛ.p.t
k.ʌ.n.v.ɪ.n.s	k.ʌ.n.v.ɪ.n.s.t
ɛ.k.s.p.l.ɔɪ.t	ɛ.k.s.p.l.ɔɪ.t.ʌ.d
b.ɛ.g	b.ɛ.g.d
s.aɪ	s.aɪ.d
tʃ.æ.l.ʌ.n.dʒ	tʃ.æ.l.ʌ.n.dʒ.d
f.aʊ.n.d	f.aʊ.n.d.ɪ.d
k.æ.l.k.j.ʌ.l.eɪ.t	k.æ.l.k.j.ʌ.l.eɪ.t.ʌ.d
h.ɛ.z.ʌ.t.eɪ.t	h.ɛ.z.ɪ.t.eɪ.t.ɪ.d
ɪ.l.ɪ.m.ʌ.n.eɪ.t	ɪ.l.ɪ.m.ʌ.n.eɪ.t.ʌ.d
v.j.u	v.j.u.d
p.l.æ.n.t	p.l.æ.n.t.ʌ.d
w.eɪ	w.eɪ.d
f.ɑ.s.t.ɚ	f.ɑ.s.t.ɚ.d
ʌ.n.d.ɚ.t.eɪ.k	ʌ.n.d.ɚ.t.ʊ.k
d.ɹ.eɪ.n	d.ɹ.eɪ.n.d
m.ɑ.ɹ.tʃ	m.ɑ.ɹ.tʃ.t
ɹ.ɪ.s.p.ɛ.k.t	ɹ.ɪ.s.p.ɛ.k.t.ɪ.d
s.t.ɑ.ɹ.t.ʌ.l	s.t.ɑ.ɹ.t.ʌ.l.d
ɪ.n.v.ɛ.s.t	ɪ.n.v.ɛ.s.t.ʌ.d
l.æ.n.d	l.æ.n.d.ʌ.d
l.ɪ.s.t	l.ɪ.s.t.ʌ.d
k.ɑ.n.s.t.ʌ.t.u.t	k.ɑ.n.s.t.ʌ.t.u.t.ʌ.d
ɛ.k.s.ɚ.s.aɪ.z	ɛ.k.s.ɚ.s.aɪ.z.d
s.p.ɔɪ.l	s.p.ɔɪ.l.d
ʌ.d.v.æ.n.s	ʌ.d.v.æ.n.s.t
ɹ.ɛ.n.t	ɹ.ɛ.n.t.ʌ.d
s.ʌ.s.t.eɪ.n	s.ʌ.s.t.eɪ.n.d
k.ʌ.l.æ.p.s	k.ʌ.l.æ.p.s.t
k.ʌ.n.d.ɛ.m	k.ʌ.n.d.ɛ.m.d
g.ɛ.ɹ.ʌ.n.t.i	g.ɛ.ɹ.ʌ.n.t.i.d
t.ɛ.ɹ.ʌ.f.aɪ	t.ɛ.ɹ.ʌ.f.aɪ.d
p.ɹ.ɪ.d.ɪ.k.t	p.ɹ.ɪ.d.ɪ.k.t.ɪ.d
h.ʌ.n.t	h.ʌ.n.t.ʌ.d
t.ɹ.æ.n.s.f.ɔ.ɹ.m	t.ɹ.æ.n.s.f.ɔ.ɹ.m.d
t.ɹ.ɛ.m.b.ʌ.l	t.ɹ.ɛ.m.b.ʌ.l.d
k.ʌ.n.s.t.ɹ.ʌ.k.t	k.ʌ.n.s.t.ɹ.ʌ.k.t.ʌ.d
l.aɪ.n	l.aɪ.n.d
s.t.ɹ.ɛ.ŋ.θ.ʌ.n	s.t.ɹ.ɛ.ŋ.θ.ʌ.n.d
ɹ.i.æ.k.t	ɹ.i.æ.k.t.ʌ.d
dʒ.ʌ.s.t.ʌ.f.aɪ	dʒ.ʌ.s.t.ʌ.f.aɪ.d
k.ʌ.m.æ.n.d	k.ʌ.m.æ.n.d.ɪ.d
f.ɪ.g.j.ɚ	f.ɪ.g.j.ɚ.d
s.n.æ.p	s.n.æ.p.t
p.ɹ.eɪ	p.ɹ.eɪ.d
b.æ.k	b.æ.k.t
b.æ.l.ʌ.n.s	b.æ.l.ʌ.n.s.t
k.ɹ.ɪ.t.ɪ.s.aɪ.z	k.ɹ.ɪ.t.ʌ.s.aɪ.z.d
h.i.t	h.i.t.ʌ.d
ɹ.ɛ.dʒ.ɪ.s.t.ɚ	ɹ.ɛ.dʒ.ɪ.s.t.ɚ.d
s.k.w.i.z	s.k.w.i.z.d
m.æ.n.j.ʌ.f.æ.k.tʃ.ɚ	m.æ.n.j.ʌ.f.æ.k.tʃ.ɚ.d
p.oʊ.z	p.oʊ.z.d
l.oʊ.d	l.oʊ.d.ʌ.d
b.aɪ.t	b.ɪ.t
p.ɪ.ɹ	p.ɪ.ɹ.d
g.ɹ.aɪ.n.d	g.ɹ.aʊ.n.d
ɪ.n.t.ɚ.ʌ.p.t	ɪ.n.t.ɚ.ʌ.p.t.ɪ.d
d.ʌ.b.ʌ.l	d.ʌ.b.ʌ.l.d
ʌ.b.l.aɪ.dʒ	ʌ.b.l.aɪ.dʒ.d
k.l.ɪ.ŋ	k.l.ʌ.ŋ
l.ɛ.n.d	l.ɛ.n.t
ɪ.k.s.p.l.ɔ.ɹ	ɪ.k.s.p.l.ɔ.ɹ.d
f.l.æ.ʃ	f.l.æ.ʃ.t
oʊ	oʊ.d
f.l.i	f.l.ɛ.d
g.ɹ.ɪ.n	g.ɹ.ɪ.n.d
d.ɪ.z.ɚ.v	d.ɪ.z.ɚ.v.d
oʊ.b.eɪ	oʊ.b.eɪ.d
s.t.ɹ.ɛ.s	s.t.ɹ.ɛ.s.t
k.ʌ.m.p.oʊ.z	k.ʌ.m.p.oʊ.z.d
ɹ.eɪ.n.dʒ	ɹ.eɪ.n.dʒ.d
ʌ.m.j.u.z	ʌ.m.j.u.z.d
k.ʌ.m.p.i.t	k.ʌ.m.p.i.t.ɪ.d
ʌ.dʒ.ʌ.s.t	ʌ.dʒ.ʌ.s.t.ɪ.d
k.ɹ.i.p	k.ɹ.ɛ.p.t
ʌ.p.ɔɪ.n.t	ʌ.p.ɔɪ.n.t.ʌ.d
d.ɪ.f.i.t	d.ɪ.f.i.t.ʌ.d
d.ɪ.m.ɪ.n.ɪ.ʃ	d.ɪ.m.ɪ.n.ɪ.ʃ.t
ʌ.d.æ.p.t	ʌ.d.æ.p.t.ɪ.d
k.ʌ.n.f.ɹ.ʌ.n.t	k.ʌ.n.f.ɹ.ʌ.n.t.ʌ.d
ɪ.n.k.w.aɪ.ɹ	ɪ.n.k.w.aɪ.ɚ.d
p.ɹ.oʊ.t.ɛ.s.t	p.ɹ.ʌ.t.ɛ.s.t.ʌ.d
k.u.l	k.u.l.d
ɪ.m.b.ɛ.ɹ.ʌ.s	ɪ.m.b.ɛ.ɹ.ʌ.s.t
k.æ.p.tʃ.ɚ	k.æ.p.tʃ.ɚ.d
d.ɪ.l.eɪ	d.ɪ.l.eɪ.d
g.aɪ.d	g.aɪ.d.ʌ.d
ɪ.n.t.ɚ.p.ɹ.ʌ.t	ɪ.n.t.ɚ.p.ɹ.ʌ.t.ʌ.d
s.p.ɪ.n	s.p.æ.n
k.ʌ.n.f.ɛ.s	k.ʌ.n.f.ɛ.s.t
t.ɹ.æ.p	t.ɹ.æ.p.t
k.ɹ.ɔ.l	k.ɹ.ɔ.l.d
ɹ.ɪ.z.ɛ.m.b.ʌ.l	ɹ.ɪ.z.ɛ.m.b.ʌ.l.d
n.ʌ.g.l.ɛ.k.t	n.ʌ.g.l.ɛ.k.t.ʌ.d
g.ɹ.æ.s.p	g.ɹ.æ.s.p.t
ɹ.i.z.ɑ.l.v	ɹ.i.z.ɑ.l.v.d
ɹ.ɪ.v.ɚ.s	ɹ.ɪ.v.ɚ.s.t
d.ɪ.s.ɛ.n.d	d.ɪ.s.ɛ.n.d.ʌ.d
d.ɹ.aʊ.n	d.ɹ.aʊ.n.d
ɛ.m.b.ɹ.eɪ.s	ɛ.m.b.ɹ.eɪ.s.t
h.ɛ.ɹ.i	h.ɛ.ɹ.i.d
m.ɚ.d.ɚ	m.ɚ.d.ɚ.d
k.ɑ.m.ɛ.n.t	k.ɑ.m.ɛ.n.t.ʌ.d
ʃ.ɹ.ʌ.g	ʃ.ɹ.ʌ.g.d
w.aʊ.n.d	w.u.n.d.ɪ.d
d.eɪ.t	d.eɪ.t.ɪ.d
p.ɑ.ɹ.k	p.ɑ.ɹ.k.t
ɑ.b.dʒ.ɛ.k.t	ʌ.b.dʒ.ɛ.k.t.ʌ.d
ɪ.v.ɑ.l.v	ɪ.v.ɑ.l.v.d
d.ɪ.t.ɛ.k.t	d.ɪ.t.ɛ.k.t.ʌ.d
m.ɛ.l.t	m.ɛ.l.t.ʌ.d
s.m.æ.ʃ	s.m.æ.ʃ.t
ɪ.n.h.ɛ.ɹ.ʌ.t	ɪ.n.h.ɛ.ɹ.ʌ.t.ɪ.d
ɪ.k.s.tʃ.eɪ.n.dʒ	ɪ.k.s.tʃ.eɪ.n.dʒ.d
b.l.i.d	b.l.ɛ.d
k.ʌ.n.f.aɪ.n	k.ʌ.n.f.aɪ.n.d
d.ɪ.z.aɪ.ɚ	d.ɪ.z.aɪ.ɚ.d
ɹ.u.ʌ.n	ɹ.u.ʌ.n.d
t.æ.k.ʌ.l	t.æ.k.ʌ.l.d
s.k.ɹ.æ.tʃ	s.k.ɹ.æ.tʃ.t
w.ɔ.ɹ.m	w.ɔ.ɹ.m.d
ɪ.n.s.p.aɪ.ɹ	ɪ.n.s.p.aɪ.ɚ.d
p.ɚ.s.ɪ.s.t	p.ɚ.s.ɪ.s.t.ɪ.d
ɚ.aʊ.z	ɚ.aʊ.z.d
k.ʌ.m.j.u.n.ʌ.k.eɪ.t	k.ʌ.m.j.u.n.ʌ.k.eɪ.t.ɪ.d
s.ʌ.b.m.ɪ.t	s.ʌ.b.m.ɪ.t.ʌ.d
f.ʌ.n.æ.n.s	f.ɪ.n.æ.n.s.t
ʌ.s.ɛ.m.b.ʌ.l	ʌ.s.ɛ.m.b.ʌ.l.d
b.l.ɑ.k	b.l.ɑ.k.t
b.ɹ.ʌ.ʃ	b.ɹ.ʌ.ʃ.t
f.l.ɪ.ŋ	f.l.ʌ.ŋ
ɹ.ɪ.z.aɪ.n	ɹ.ɪ.z.aɪ.n.d
b.eɪ.k	b.eɪ.k.t
k.ʌ.n.s.u.m	k.ʌ.n.s.u.m.d
k.ʌ.n.s.ɚ.n	k.ʌ.n.s.ɚ.n.d
p.ʌ.n.ɪ.ʃ	p.ʌ.n.ɪ.ʃ.t
ʌ.s.ɛ.s	ʌ.s.ɛ.s.t
d.ɪ.s.t.ɹ.ɪ.b.j.u.t	d.ɪ.s.t.ɹ.ɪ.b.j.ʌ.t.ʌ.d
s.k.ɔ.ɹ	s.k.ɔ.ɹ.d
d.ɪ.s.l.aɪ.k	d.ɪ.s.l.aɪ.k.t
ɪ.k.s.k.l.u.d	ɪ.k.s.k.l.u.d.ʌ.d
ɹ.ɪ.l.i.v	ɹ.ɪ.l.i.v.d
m.ʌ.t.ɚ	m.ʌ.t.ɚ.d
ɪ.n.v.ɛ.s.t.ʌ.g.eɪ.t	ɪ.n.v.ɛ.s.t.ʌ.g.eɪ.t.ʌ.d
k.ʌ.m.p.ɛ.l	k.ʌ.m.p.ɛ.l.d
s.ʌ.p.ɹ.ɛ.s	s.ʌ.p.ɹ.ɛ.s.t
s.ɛ.l.ʌ.b.ɹ.eɪ.t	s.ɛ.l.ʌ.b.ɹ.eɪ.t.ɪ.d
d.ɪ.f.ɚ	d.ɪ.f.ɚ.d
ʌ.s.ɚ.t	ʌ.s.ɚ.t.ʌ.d
k.ʌ.n.v.eɪ	k.ʌ.n.v.eɪ.d
n.i.l	n.ɛ.l.t
n.i.l	n.ɛ.l.t
s.p.ɑ.t	s.p.ɑ.t.ʌ.d
i.z	i.z.d
f.oʊ.k.ʌ.s	f.oʊ.k.ʌ.s.t
t.eɪ.s.t	t.eɪ.s.t.ʌ.d
oʊ.v.ɚ.l.ʊ.k	oʊ.v.ɚ.l.ʊ.k.t
p.ɹ.ɑ.dʒ.ɛ.k.t	p.ɹ.ɑ.dʒ.ɛ.k.t.ʌ.d
ɪ.n.k.aʊ.n.t.ɚ	ɪ.n.k.aʊ.n.t.ɚ.d
ʌ.p.i.l	ʌ.p.i.l.d
ʌ.w.eɪ.t	ʌ.w.eɪ.t.ɪ.d
ɪ.k.s.p.l.oʊ.d	ɪ.k.s.p.l.oʊ.d.ʌ.d
ɹ.ɛ.k.ʌ.n	ɹ.ɛ.k.ʌ.n.d
f.ɹ.aɪ.t.ʌ.n	f.ɹ.aɪ.t.ʌ.n.d
p.ɚ.s.i.v	p.ɚ.s.i.v.d
ɪ.n.t.ɚ.f.ɪ.ɹ	ɪ.n.t.ɚ.f.ɪ.ɹ.d
j.ɛ.l	j.ɛ.l.d
ɹ.eɪ.s	ɹ.eɪ.s.t
t.ɹ.eɪ.s	t.ɹ.eɪ.s.t
ɹ.ɪ.z.ɛ.n.t	ɹ.i.z.ɛ.n.t.ʌ.d
p.ɑ.ɹ.t.ɪ.s.ʌ.p.eɪ.t	p.ɑ.ɹ.t.ɪ.s.ʌ.p.eɪ.t.ʌ.d
ɹ.ɔ.ɹ	ɹ.ɔ.ɹ.d
k.j.ʊ.ɹ	k.j.ʊ.ɹ.d
s.t.ʌ.f	s.t.ʌ.f.t
æ.n.t.ɪ.s.ʌ.p.eɪ.t	æ.n.t.ɪ.s.ʌ.p.eɪ.t.ʌ.d
f.ɹ.aɪ	f.ɹ.aɪ.d
f.ɛ.tʃ	f.ɛ.tʃ.t
ɹ.i.ɪ.n.f.ɔ.ɹ.s	ɹ.i.ɪ.n.f.ɔ.ɹ.s.t
s.p.ɛ.ɹ	s.p.ɛ.ɹ.d
k.ʌ.m.f.ɚ.t	k.ʌ.m.f.ɚ.t.ɪ.d
f.ɹ.ʌ.s.t.ɹ.eɪ.t	f.ɹ.ʌ.s.t.ɹ.eɪ.t.ʌ.d
ɪ.m.p.ɔ.ɹ.t	ɪ.m.p.ɔ.ɹ.t.ɪ.d
ɪ.n.t.ɚ.v.j.u	ɪ.n.t.ɚ.v.j.u.d
p.ɑ.l.ɪ.ʃ	p.ɑ.l.ɪ.ʃ.t
k.l.ʌ.tʃ	k.l.ʌ.tʃ.t
ɪ.n.s.p.ɛ.k.t	ɪ.n.s.p.ɛ.k.t.ɪ.d
ɹ.i.v.j.u	ɹ.i.v.j.u.d
k.ɹ.ʌ.ʃ	k.ɹ.ʌ.ʃ.t
f.aɪ.l	f.aɪ.l.d
p.aɪ.l	p.aɪ.l.d
k.ʌ.n.f.j.u.z	k.ʌ.n.f.j.u.z.d
t.ʌ.k	t.ʌ.k.t
ɪ.ɹ.ɪ.t.eɪ.t	ɪ.ɹ.ʌ.t.eɪ.t.ʌ.d
f.ɹ.i	f.ɹ.i.d
t.ɛ.l.ʌ.f.oʊ.n	t.ɛ.l.ʌ.f.oʊ.n.d
t.ɹ.eɪ.d	t.ɹ.eɪ.d.ɪ.d
p.ɹ.ʌ.v.oʊ.k	p.ɹ.ʌ.v.oʊ.k.t
ʃ.ɹ.ɪ.ŋ.k	ʃ.ɹ.æ.ŋ.k
ʃ.ɹ.ɪ.ŋ.k	ʃ.ɹ.ʌ.ŋ.k
s.t.ɑ.ɹ.v	s.t.ɑ.ɹ.v.d
s.t.ʌ.m.b.ʌ.l	s.t.ʌ.m.b.ʌ.l.d
tʃ.eɪ.s	tʃ.eɪ.s.t
ʌ.s.ɪ.s.t	ʌ.s.ɪ.s.t.ʌ.d
b.æ.n	b.æ.n.d
tʃ.u	tʃ.u.d
k.ʌ.n.s.i.v	k.ʌ.n.s.i.v.d
n.ʌ.g.oʊ.ʃ.i.eɪ.t	n.ʌ.g.oʊ.ʃ.i.eɪ.t.ʌ.d
s.t.ɹ.ɪ.p	s.t.ɹ.ɪ.p.t
d.ɛ.k.ɚ.eɪ.t	d.ɛ.k.ɚ.eɪ.t.ʌ.d
s.eɪ.l	s.eɪ.l.d
s.t.ɹ.eɪ.n	s.t.ɹ.eɪ.n.d
b.ɪ.t.ɹ.eɪ	b.ɪ.t.ɹ.eɪ.d
p.l.ʌ.n.dʒ	p.l.ʌ.n.dʒ.d
ɹ.ɪ.s.k	ɹ.ɪ.s.k.t
t.ɔ.s	t.ɔ.s.t
t.ɹ.æ.n.z.l.eɪ.t	t.ɹ.æ.n.z.l.eɪ.t.ʌ.d
w.i.k.ʌ.n	w.i.k.ʌ.n.d
k.ɹ.u.z	k.ɹ.u.z.d
p.ɚ.tʃ.ʌ.s	p.ɚ.tʃ.ʌ.s.t
ɪ.n.s.t.ɔ.l	ɪ.n.s.t.ɔ.l.d
s.t.ɪ.m.j.ʌ.l.eɪ.t	s.t.ɪ.m.j.ʌ.l.eɪ.t.ʌ.d
k.ɑ.ɹ.v	k.ɑ.ɹ.v.d
d.ɪ.p.ɑ.ɹ.t	d.ɪ.p.ɑ.ɹ.t.ɪ.d
ʃ.æ.t.ɚ	ʃ.æ.t.ɚ.d
tʃ.ɑ.p	tʃ.ɑ.p.t
b.ɛ.n.ʌ.f.ɪ.t	b.ɛ.n.ʌ.f.ɪ.t.ɪ.d
k.ɚ.ɛ.k.t	k.ɚ.ɛ.k.t.ʌ.d
b.ɛ.t.ɚ	b.ɛ.t.ɚ.d
b.ɹ.i.d	b.ɹ.ɛ.d
ɪ.k.s.k.j.u.s	ɪ.k.s.k.j.u.z.d
g.ʌ.v.ɚ.n	g.ʌ.v.ɚ.n.d
p.ɑ.p	p.ɑ.p.t
d.æ.m	d.æ.m.d
f.l.ɚ.ɪ.ʃ	f.l.ɚ.ɪ.ʃ.t
p.l.i.d	p.l.i.d.ʌ.d
d.ɛ.z.ɚ.t	d.ɪ.z.ɚ.t.ɪ.d
s.i.t	s.i.t.ʌ.d
s.t.ɹ.oʊ.k	s.t.ɹ.oʊ.k.t
k.ɹ.æ.ʃ	k.ɹ.æ.ʃ.t
ɹ.ɪ.z.u.m	ɹ.ɪ.z.u.m.d
t.ɛ.m.p.t	t.ɛ.m.p.t.ʌ.d
d.ɪ.v.aɪ.z	d.ɪ.v.aɪ.z.d
k.ɹ.æ.k	k.ɹ.æ.k.t
ɛ.n.d.j.ʊ.ɹ	ɛ.n.d.j.ʊ.ɹ.d
d.ɪ.z.ɑ.l.v	d.ɪ.z.ɑ.l.v.d
s.t.ɹ.eɪ.t.ʌ.n	s.t.ɹ.eɪ.t.ʌ.n.d
ʌ.s.aɪ.n	ʌ.s.aɪ.n.d
g.ɑ.ɹ.d	g.ɑ.ɹ.d.ʌ.d
j.i.l.d	j.i.l.d.ʌ.d
ɛ.k.oʊ	ɛ.k.oʊ.d
ɹ.ɛ.n.d.ɚ	ɹ.ɛ.n.d.ɚ.d
d.ɪ.s.g.aɪ.z	d.ɪ.s.g.aɪ.z.d
f.ɚ.n.ɪ.ʃ	f.ɚ.n.ɪ.ʃ.t
p.ɹ.ɑ.s.ɛ.s	p.ɹ.ɑ.s.ɛ.s.t
p.l.i.z	p.l.i.z.d
m.ɑ.d.ʌ.f.aɪ	m.ɑ.d.ʌ.f.aɪ.d
ɛ.dʒ.ʌ.k.eɪ.t	ɛ.dʒ.ʌ.k.eɪ.t.ɪ.d
s.i.l	s.i.l.d
s.w.eɪ	s.w.eɪ.d
ʌ.p.ɑ.l.ʌ.dʒ.aɪ.z	ʌ.p.ɑ.l.ʌ.dʒ.aɪ.z.d
s.p.ɪ.l	s.p.ɪ.l.d
s.p.ɪ.l	s.p.ɪ.l.t
ɹ.ɛ.s.k.j.u	ɹ.ɛ.s.k.j.u.d
s.ʌ.m.ʌ.n	s.ʌ.m.ʌ.n.d
k.ɑ.n.t.ʌ.m.p.l.eɪ.t	k.ɑ.n.t.ʌ.m.p.l.eɪ.t.ɪ.d
s.p.ɛ.l	s.p.ɛ.l.d
s.ʌ.s.p.ɛ.n.d	s.ʌ.s.p.ɛ.n.d.ʌ.d
ʌ.n.d.ɚ.g.oʊ	ʌ.n.d.ɚ.w.ɛ.n.t
s.ɪ.v.ʌ.l.aɪ.z	s.ɪ.v.ʌ.l.aɪ.z.d
m.ɚ.m.ɚ	m.ɚ.m.ɚ.d
k.w.ɑ.l.ʌ.f.aɪ	k.w.ɑ.l.ʌ.f.aɪ.d
s.k.ɹ.u	s.k.ɹ.u.d
t.aɪ.t.ʌ.n	t.aɪ.t.ʌ.n.d
ʌ.n.ɔɪ	ʌ.n.ɔɪ.d
b.l.ɛ.s	b.l.ɛ.s.t
ɹ.aʊ.n.d	ɹ.aʊ.n.d.ʌ.d
b.æ.t.ɚ	b.æ.t.ɚ.d
p.ʌ.m.p	p.ʌ.m.p.t
ʌ.l.ɛ.dʒ	ʌ.l.ɛ.dʒ.d
w.ɪ.t.n.ʌ.s	w.ɪ.t.n.ʌ.s.t
ɪ.n.t.ʌ.g.ɹ.eɪ.t	ɪ.n.t.ʌ.g.ɹ.eɪ.t.ʌ.d
ʌ.f.ɛ.n.d	ʌ.f.ɛ.n.d.ʌ.d
ʃ.ɪ.v.ɚ	ʃ.ɪ.v.ɚ.d
p.ɛ.n.ʌ.t.ɹ.eɪ.t	p.ɛ.n.ʌ.t.ɹ.eɪ.t.ʌ.d
s.k.æ.t.ɚ	s.k.æ.t.ɚ.d
d.ɪ.s.k.ɚ.ɪ.dʒ	d.ɪ.s.k.ɚ.ɪ.dʒ.d
s.n.æ.tʃ	s.n.æ.tʃ.t
s.oʊ.k	s.oʊ.k.t
p.ɹ.oʊ.k.l.eɪ.m	p.ɹ.oʊ.k.l.eɪ.m.d
d.ʌ.m.p	d.ʌ.m.p.t
ɹ.i.t.ɹ.i.t	ɹ.i.t.ɹ.i.t.ʌ.d
ʃ.eɪ.p	ʃ.eɪ.p.t
t.ɹ.æ.n.z.m.ɪ.t	t.ɹ.æ.n.s.m.ɪ.t.ɪ.d
b.aɪ.n.d	b.aʊ.n.d
t.aɪ.p	t.aɪ.p.t
p.æ.t	p.æ.t.ʌ.d
p.ɔɪ.z.ʌ.n	p.ɔɪ.z.ʌ.n.d
p.ɹ.eɪ.z	p.ɹ.eɪ.z.d
ʌ.b.ɑ.l.ɪ.ʃ	ʌ.b.ɑ.l.ɪ.ʃ.t
f.ɚ.b.ɪ.d	f.ɚ.b.eɪ.d
f.ɚ.b.ɪ.d	f.ɚ.b.eɪ.d
ɹ.ɪ.n.u	ɹ.ɪ.n.u.d
ʌ.m.eɪ.z	ʌ.m.eɪ.z.d
d.ɪ.p	d.ɪ.p.t
